audit_task_id,label_id,gsv_panorama_id_x,label_type,severity,correct,high_quality_user,geometry,gsv_panorama_id_y,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,cluster_id,count,false_positive,distance,tag_list,description,tag_count,verified
7,9,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,True,True,POINT (-74.03411102294922 40.945518493652344),8AsY4nlOJQAo8P5YYaEjzA,2,309.03570556640625,-15.723214149475098,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94551849365234,-74.03411102294922,442,5,0,8.785377579985525,0.0,0.0,0.0,1
7,10,8AsY4nlOJQAo8P5YYaEjzA,NoSidewalk,5.0,True,True,POINT (-74.03414154052734 40.94554138183594),8AsY4nlOJQAo8P5YYaEjzA,2,303.2321472167969,-13.580357551574709,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94554138183594,-74.03414154052734,321,6,0,13.819353037086188,1.0,0.0,1.0,1
7,11,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,True,True,POINT (-74.0341567993164 40.9454345703125),8AsY4nlOJQAo8P5YYaEjzA,2,266.7142944335937,-12.330357551574709,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.9454345703125,-74.0341567993164,467,5,0,16.290317141741802,0.0,0.0,0.0,1
7,12,8AsY4nlOJQAo8P5YYaEjzA,NoSidewalk,5.0,True,True,POINT (-74.0342025756836 40.9454460144043),8AsY4nlOJQAo8P5YYaEjzA,2,270.8214416503906,-11.616071701049805,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.9454460144043,-74.0342025756836,324,5,0,24.869158422319654,1.0,0.0,1.0,1
7,13,8AsY4nlOJQAo8P5YYaEjzA,Crosswalk,1.0,True,True,POINT (-74.03414154052734 40.945472717285156),8AsY4nlOJQAo8P5YYaEjzA,2,284.3928527832031,-13.758928298950195,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94547271728516,-74.03414154052734,159,10,0,9.90000811735891,0.0,0.0,0.0,1
7,14,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,True,True,POINT (-74.03398132324219 40.94548034667969),8AsY4nlOJQAo8P5YYaEjzA,1,45.42856979370117,-33.78571319580078,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94548034667969,-74.03398132324219,422,5,0,7.960325327562674,0.0,0.0,0.0,1
7,15,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,True,True,POINT (-74.03401184082031 40.94541549682617),8AsY4nlOJQAo8P5YYaEjzA,1,151.17857360839844,-35.0,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94541549682617,-74.03401184082031,471,6,0,17.313022510842316,0.0,0.0,0.0,1
7,16,Tu5MN4i-9qVTV2F-Hv7cMw,Crosswalk,1.0,True,True,POINT (-74.03399658203125 40.9454345703125),Tu5MN4i-9qVTV2F-Hv7cMw,1,50.11606979370117,-21.5,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.9454345703125,-74.03399658203125,222,8,0,9.27877395158858,0.0,0.0,0.0,1
7,17,Tu5MN4i-9qVTV2F-Hv7cMw,SurfaceProblem,2.0,True,True,POINT (-74.03417205810547 40.94540023803711),Tu5MN4i-9qVTV2F-Hv7cMw,1,270.2410583496094,-22.3125,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94540023803711,-74.03417205810547,179,6,0,16.55619495902275,1.0,0.0,2.0,1
7,18,Tu5MN4i-9qVTV2F-Hv7cMw,SurfaceProblem,1.0,True,True,POINT (-74.03421020507812 40.945350646972656),Tu5MN4i-9qVTV2F-Hv7cMw,2,245.86607360839844,-18.1875,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.945350646972656,-74.03421020507812,288,7,0,21.21611563340814,1.0,0.0,1.0,1
7,19,Tu5MN4i-9qVTV2F-Hv7cMw,NoCurbRamp,3.0,True,True,POINT (-74.03411865234375 40.945396423339844),Tu5MN4i-9qVTV2F-Hv7cMw,1,286.5647277832031,-35.0,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94539642333984,-74.03411865234375,325,6,0,1.957787641097097,1.0,0.0,2.0,1
7,20,Tu5MN4i-9qVTV2F-Hv7cMw,NoCurbRamp,3.0,False,True,POINT (-74.03404235839844 40.94538497924805),Tu5MN4i-9qVTV2F-Hv7cMw,1,73.56473541259766,-23.0,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94538497924805,-74.03404235839844,269,6,0,19.557943328223548,1.0,0.0,2.0,1
